,county_district_school_code,county_code,district_code,school_code,record_type,school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,perc_participation,avg_reading,avg_english,avg_math,avg_science,num_test_takers_21,pct_test_takers_21,year
0,43696664333795.0,43.0,4369666.0,4333795.0,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,11.447084233261338,23.0,22.0,22.0,23.0,34.0,64.15,2018-19
1,19647331935121.0,19.0,1964733.0,1935121.0,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,8.4070796460177,21.0,20.0,23.0,22.0,11.0,57.89,2018-19
2,19769680109926.0,19.0,1976968.0,109926.0,S,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,50.76923076923077,15.0,15.0,17.0,16.0,3.0,9.09,2018-19
3,19647330126615.0,19.0,1964733.0,126615.0,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,12.698412698412698,18.0,18.0,18.0,17.0,5.0,31.25,2018-19
4,19651361996321.0,19.0,1965136.0,1996321.0,S,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,34.61538461538461,29.0,29.0,25.0,25.0,34.0,94.44,2018-19
5,7616300730283.0,7.0,761630.0,730283.0,S,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,28.04532577903683,29.0,29.0,28.0,27.0,93.0,93.94,2018-19
6,43694270125617.0,43.0,4369427.0,125617.0,S,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,82.92682926829268,14.0,14.0,15.0,15.0,1.0,2.94,2018-19
7,36679340125419.0,36.0,3667934.0,125419.0,S,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,6.511627906976744,19.0,17.0,18.0,18.0,8.0,28.57,2018-19
8,56725465631619.0,56.0,5672546.0,5631619.0,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,17.94871794871795,23.0,23.0,23.0,22.0,55.0,60.44,2018-19
9,43696744338802.0,43.0,4369674.0,4338802.0,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,30.131004366812224,25.0,24.0,24.0,24.0,93.0,67.39,2018-19
10,19646831930080.0,19.0,1964683.0,1930080.0,S,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,30.501089324618736,27.0,26.0,25.0,24.0,114.0,81.43,2018-19
11,19647330118588.0,19.0,1964733.0,118588.0,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,29.31937172774869,14.0,14.0,16.0,15.0,7.0,6.25,2018-19
12,1611190130229.0,1.0,161119.0,130229.0,S,Alameda High,Alameda Unified,Alameda,463.0,93.0,20.086393088552914,28.0,27.0,27.0,26.0,85.0,91.4,2018-19
13,1611270130450.0,1.0,161127.0,130450.0,S,Albany High,Albany City Unified,Alameda,296.0,58.0,19.594594594594593,28.0,27.0,27.0,26.0,51.0,87.93,2018-19
14,19647331933852.0,19.0,1964733.0,1933852.0,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23.760683760683758,23.0,23.0,21.0,21.0,75.0,53.96,2018-19
15,19757131930163.0,19.0,1975713.0,1930163.0,S,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,14.351851851851851,24.0,25.0,24.0,23.0,69.0,74.19,2018-19
16,7617390730549.0,7.0,761739.0,730549.0,S,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,14.084507042253522,25.0,23.0,25.0,23.0,30.0,75.0,2018-19
17,27661592730109.0,27.0,2766159.0,2730109.0,S,Alisal High,Salinas Union High,Monterey,651.0,206.0,31.643625192012287,18.0,17.0,18.0,18.0,47.0,22.82,2018-19
18,30664643030574.0,30.0,3066464.0,3030574.0,S,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,38.184245660881174,26.0,27.0,27.0,26.0,254.0,88.81,2018-19
