,county_district_school_code,county_code,district_code,school_code,record_type,school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,perc_participation,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,pct_test_takers_benchmark,year
0,19647331930924.0,19.0,1964733.0,1930924.0,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,49.51456310679612,31.0,30.39,14.0,13.73,14.0,13.73,2018-19
1,19647331931476.0,19.0,1964733.0,1931476.0,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,49.77973568281938,54.0,47.79,18.0,15.93,18.0,15.93,2018-19
2,19647336061451.0,19.0,1964733.0,6061451.0,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,63.85542168674698,68.0,64.15,36.0,33.96,36.0,33.96,2018-19
3,30736353034956.0,30.0,3073635.0,3034956.0,S,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,33.80782918149466,161.0,84.74,138.0,72.63,132.0,69.47,2018-19
4,33672153336955.0,33.0,3367215.0,3336955.0,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,14.912280701754385,3.0,17.65,2.0,11.76,2.0,11.76,2018-19
5,13631071332501.0,13.0,1363107.0,1332501.0,S,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,29.67032967032967,14.0,51.85,6.0,22.22,5.0,18.52,2018-19
6,19647330119685.0,19.0,1964733.0,119685.0,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,80.0,17.0,25.0,6.0,8.82,6.0,8.82,2018-19
7,33670333331600.0,33.0,3367033.0,3331600.0,S,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,35.111876075731494,148.0,72.55,88.0,43.14,82.0,40.2,2018-19
8,19646341996586.0,19.0,1964634.0,1996586.0,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,46.89655172413793,45.0,66.18,30.0,44.12,29.0,42.65,2018-19
9,33671813335759.0,33.0,3367181.0,3335759.0,S,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,21.839080459770116,27.0,71.05,13.0,34.21,12.0,31.58,2018-19
10,36750773630423.0,36.0,3675077.0,3630423.0,S,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,33.756805807622506,150.0,80.65,70.0,37.63,67.0,36.02,2018-19
11,37683386061964.0,37.0,3768338.0,6061964.0,S,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,51.2,44.0,68.75,33.0,51.56,28.0,43.75,2018-19
12,10621171030683.0,10.0,1062117.0,1030683.0,S,Clovis East High,Clovis Unified,Fresno,584.0,237.0,40.582191780821915,161.0,67.93,103.0,43.46,94.0,39.66,2018-19
13,39686760108159.0,39.0,3968676.0,108159.0,S,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,36.85220729366603,96.0,50.0,50.0,26.04,39.0,20.31,2018-19
14,19647331938885.0,19.0,1964733.0,1938885.0,S,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,57.44047619047619,121.0,62.69,82.0,42.49,76.0,39.38,2018-19
15,19647331996115.0,19.0,1964733.0,1996115.0,S,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,7.876712328767123,14.0,60.87,7.0,30.43,7.0,30.43,2018-19
16,19756636120158.0,19.0,1975663.0,6120158.0,S,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,52.22222222222223,43.0,91.49,33.0,70.21,32.0,68.09,2018-19
17,19757131934553.0,19.0,1975713.0,1934553.0,S,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,46.45941278065631,241.0,89.59,230.0,85.5,215.0,79.93,2018-19
18,29663572935500.0,29.0,2966357.0,2935500.0,S,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,25.21246458923513,78.0,87.64,64.0,71.91,62.0,69.66,2018-19
19,30736503035102.0,30.0,3073650.0,3035102.0,S,University High,Irvine Unified,Orange,633.0,205.0,32.38546603475513,189.0,92.2,185.0,90.24,179.0,87.32,2018-19
20,41689244137790.0,41.0,4168924.0,4137790.0,S,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,87.0886075949367,213.0,61.92,169.0,49.13,153.0,44.48,2018-19
21,7617960735316.0,7.0,761796.0,735316.0,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,93.60902255639097,117.0,46.99,60.0,24.1,58.0,23.29,2018-19
22,19642460100081.0,19.0,1964246.0,100081.0,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,24.850299401197603,112.0,67.47,50.0,30.12,46.0,27.71,2018-19
23,19642461930213.0,19.0,1964246.0,1930213.0,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,18.28193832599119,37.0,44.58,9.0,10.84,8.0,9.64,2018-19
24,19648731936749.0,19.0,1964873.0,1936749.0,S,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,82.11453744493392,352.0,37.77,185.0,19.85,158.0,16.95,2018-19
25,41690474134557.0,41.0,4169047.0,4134557.0,S,Mills High,San Mateo Union High,San Mateo,299.0,147.0,49.163879598662206,137.0,93.2,132.0,89.8,126.0,85.71,2018-19
26,41690704137279.0,41.0,4169070.0,4137279.0,S,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,29.45205479452055,71.0,82.56,53.0,61.63,51.0,59.3,2018-19
27,1612000133397.0,1.0,161200.0,133397.0,S,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,31.393298059964724,157.0,88.2,143.0,80.34,132.0,74.16,2018-19
28,19101990115212.0,19.0,1910199.0,115212.0,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,41.46341463414634,10.0,58.82,6.0,35.29,6.0,35.29,2018-19
29,38684783833407.0,38.0,3868478.0,3833407.0,S,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,62.38938053097345,415.0,98.11,386.0,91.25,385.0,91.02,2018-19
30,21654822133692.0,21.0,2165482.0,2133692.0,S,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,39.62765957446808,138.0,92.62,121.0,81.21,119.0,79.87,2018-19
31,33103300110833.0,33.0,3310330.0,110833.0,S,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,15.492957746478872,30.0,90.91,22.0,66.67,22.0,66.67,2018-19
32,37683380107052.0,37.0,3768338.0,107052.0,S,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,18.0,8.0,44.44,2.0,11.11,1.0,5.56,2018-19
33,37683380107078.0,37.0,3768338.0,107078.0,S,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,29.069767441860467,20.0,80.0,11.0,44.0,11.0,44.0,2018-19
34,39103973930476.0,39.0,3910397.0,3930476.0,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,28.947368421052634,47.0,61.04,18.0,23.38,18.0,23.38,2018-19
35,7617210107797.0,7.0,761721.0,107797.0,S,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,42.508710801393725,212.0,86.89,158.0,64.75,156.0,63.93,2018-19
36,10752341037456.0,10.0,1075234.0,1037456.0,S,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,22.5,10.0,37.04,0.0,0.0,0.0,0.0,2018-19
37,10752751036938.0,10.0,1075275.0,1036938.0,S,Sierra High,Sierra Unified,Fresno,91.0,28.0,30.76923076923077,26.0,92.86,15.0,53.57,15.0,53.57,2018-19
