school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,perc_participation,pct_test_takers_benchmark,year
Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31.0,30.39,14.0,13.73,14.0,49.51456310679612,13.73,2018-19
Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54.0,47.79,18.0,15.93,18.0,49.77973568281938,15.93,2018-19
Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68.0,64.15,36.0,33.96,36.0,63.85542168674698,33.96,2018-19
Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161.0,84.74,138.0,72.63,132.0,33.80782918149466,69.47,2018-19
Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,3.0,17.65,2.0,11.76,2.0,14.912280701754385,11.76,2018-19
Calipatria High,Calipatria Unified,Imperial,91.0,27.0,14.0,51.85,6.0,22.22,5.0,29.67032967032967,18.52,2018-19
New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17.0,25.0,6.0,8.82,6.0,80.0,8.82,2018-19
Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148.0,72.55,88.0,43.14,82.0,35.111876075731494,40.2,2018-19
Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45.0,66.18,30.0,44.12,29.0,46.89655172413793,42.65,2018-19
Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27.0,71.05,13.0,34.21,12.0,21.839080459770116,31.58,2018-19
Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150.0,80.65,70.0,37.63,67.0,33.756805807622506,36.02,2018-19
The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44.0,68.75,33.0,51.56,28.0,51.2,43.75,2018-19
Clovis East High,Clovis Unified,Fresno,584.0,237.0,161.0,67.93,103.0,43.46,94.0,40.582191780821915,39.66,2018-19
Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96.0,50.0,50.0,26.04,39.0,36.85220729366603,20.31,2018-19
University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121.0,62.69,82.0,42.49,76.0,57.44047619047619,39.38,2018-19
City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14.0,60.87,7.0,30.43,7.0,7.876712328767123,30.43,2018-19
New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43.0,91.49,33.0,70.21,32.0,52.22222222222223,68.09,2018-19
Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241.0,89.59,230.0,85.5,215.0,46.45941278065631,79.93,2018-19
Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78.0,87.64,64.0,71.91,62.0,25.21246458923513,69.66,2018-19
University High,Irvine Unified,Orange,633.0,205.0,189.0,92.2,185.0,90.24,179.0,32.38546603475513,87.32,2018-19
Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213.0,61.92,169.0,49.13,153.0,87.0886075949367,44.48,2018-19
Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117.0,46.99,60.0,24.1,58.0,93.60902255639097,23.29,2018-19
William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,67.47,50.0,30.12,46.0,24.850299401197603,27.71,2018-19
Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37.0,44.58,9.0,10.84,8.0,18.28193832599119,9.64,2018-19
Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352.0,37.77,185.0,19.85,158.0,82.11453744493392,16.95,2018-19
Mills High,San Mateo Union High,San Mateo,299.0,147.0,137.0,93.2,132.0,89.8,126.0,49.163879598662206,85.71,2018-19
South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71.0,82.56,53.0,61.63,51.0,29.45205479452055,59.3,2018-19
Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157.0,88.2,143.0,80.34,132.0,31.393298059964724,74.16,2018-19
Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10.0,58.82,6.0,35.29,6.0,41.46341463414634,35.29,2018-19
Lowell High,San Francisco Unified,San Francisco,678.0,423.0,415.0,98.11,386.0,91.25,385.0,62.38938053097345,91.02,2018-19
Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,138.0,92.62,121.0,81.21,119.0,39.62765957446808,79.87,2018-19
River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,30.0,90.91,22.0,66.67,22.0,15.492957746478872,66.67,2018-19
San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,8.0,44.44,2.0,11.11,1.0,18.0,5.56,2018-19
